epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,888.337,1.29966,0.63615,0.97467,0.99469,1,0.995,0.69908,1.09613,0.54664,0.89086,0.0003764,0.0003764,0.0003764
84,898.961,1.44253,0.77329,0.89751,0.9952,1,0.995,0.70581,1.08069,0.54574,0.88488,0.0003566,0.0003566,0.0003566
85,909.494,1.23884,0.66158,0.89314,0.9952,1,0.995,0.70581,1.08069,0.54574,0.88488,0.0003368,0.0003368,0.0003368
86,920.142,1.24914,0.66607,0.90177,0.9957,1,0.995,0.71963,1.10573,0.54229,0.88655,0.000317,0.000317,0.000317
87,930.79,1.28897,0.65187,0.97278,0.9957,1,0.995,0.71963,1.10573,0.54229,0.88655,0.0002972,0.0002972,0.0002972
88,941.587,1.55013,0.72142,0.90662,0.99588,1,0.995,0.73102,1.06749,0.52001,0.88244,0.0002774,0.0002774,0.0002774
89,952.259,1.28898,0.65668,0.93985,0.99588,1,0.995,0.73102,1.06749,0.52001,0.88244,0.0002576,0.0002576,0.0002576
90,962.994,1.39586,0.65863,0.97299,0.99596,1,0.995,0.74035,1.01662,0.50394,0.87883,0.0002378,0.0002378,0.0002378
91,973.593,1.30434,0.66066,0.8882,0.99596,1,0.995,0.74035,1.01662,0.50394,0.87883,0.000218,0.000218,0.000218
92,984.324,1.18822,0.64171,0.88282,0.99615,1,0.995,0.73554,0.98207,0.49693,0.87633,0.0001982,0.0001982,0.0001982
93,994.763,1.1856,0.59301,0.92245,0.99615,1,0.995,0.73554,0.98207,0.49693,0.87633,0.0001784,0.0001784,0.0001784
94,1005.29,1.26028,0.63581,0.87514,0.99613,1,0.995,0.7349,0.98221,0.49854,0.87588,0.0001586,0.0001586,0.0001586
95,1015.73,1.31733,0.65809,0.88148,0.99613,1,0.995,0.7349,0.98221,0.49854,0.87588,0.0001388,0.0001388,0.0001388
96,1026.23,1.41598,0.81037,0.90635,0.99592,1,0.995,0.72703,0.97973,0.50193,0.87488,0.000119,0.000119,0.000119
97,1036.61,1.20217,0.6249,0.88925,0.99592,1,0.995,0.72703,0.97973,0.50193,0.87488,9.92e-05,9.92e-05,9.92e-05
98,1047.22,1.19709,0.63025,0.91519,0.99589,1,0.995,0.72313,0.97497,0.50206,0.87279,7.94e-05,7.94e-05,7.94e-05
99,1057.71,1.20572,0.5969,0.94978,0.99589,1,0.995,0.72313,0.97497,0.50206,0.87279,5.96e-05,5.96e-05,5.96e-05
100,1068.27,1.60435,0.85762,0.92803,0.99601,1,0.995,0.72638,0.97244,0.50429,0.87071,3.98e-05,3.98e-05,3.98e-05
